LT,LS,LB,WT,WB,Wfi,Fleet
240,197,180,282.5,124.3,80,2
240,195,171,283.5,118.7,66.8,2
233,195,167,286,94,55.8,2
230,190,160,286,105,64.3,1
230,185,170,286.2,133,80.4,1
240,190,182,287,134.8,86,1
226,183,166,288,126.9,76.5,1
235,194,170,288,132.1,89,2
240,196,178,288.1,164,92.6,2
235,194,167,290,118,67.2,1
235,195,170,290,122.5,73.5,2
231,189,173,290,130,82.3,2
240,200,180,293,146.6,93.9,2
245,205,180,293.3,148.6,95.5,2
225,180,177,294,136,90,1
245,202,186,294.1,173.1,80.3,2
233,193,160,295.1,126.2,79.1,2
231,189,168,296,120,72.5,1
235,190,175,296,128,75,1
232,188,179,299.7,138.9,84.6,2
240,195,160,300,108,80,1
234,196,181,300.8,125,76.5,1
224,180,169,301,127,90,1
225,190,170,301,134,90.5,1
240,199,168,302,130,64.6,1
247,208,177,302,138,78,2
245,195,185,302,145.2,91.6,2
245,199,163,304,90.5,50,2
245,200,175,304,120,78,1
240,190,175,304.9,106.9,85.1,2
226,182,170,306,146,102,1
248,205,170,306.1,122.6,75.6,2
250,210,200,306.5,149.4,92.1,2
252,207,195,308,114.5,62.7,2
250,200,189,309,150,99,1
246,205,183,309.9,143.3,92.8,2
231,192,175,310,138.5,73.8,1
240,190,180,310,144,100,1
242,202,172,310,157.8,85.6,1
241,196,178,310.7,129.7,70.6,2
235,192,170,313,156,108.9,1
237,192,168,314,136,97,1
240,200,180,314,146,100,1
225,185,166,315,131,65.7,1
240,192,170,315.1,138.9,89.9,1
249,201,170,315.9,140,86.1,2
256,210,170,316,126.5,73.2,2
235,199,167,316,140.9,88,1
240,190,185,316,147,97,1
260,220,205,317.9,182.6,63.9,2
234,192,175,318.1,149.4,94.1,1
245,204,185,319,150,98,1
252,204,175,319.6,118.5,72,2
234,192,171,320,120.2,72.2,2
247,202,168,320,134.6,75.4,2
236,192,166,320,134.9,79.3,1
230,195,167,320,146,99,1
229,184,168,321,126.6,79,1
236,195,165,321,139,90,1
230,185,180,322,150,93,1
239,195,179,323,137,83,1
243,175,170,323,144.7,81.1,1
230,185,170,323.9,142.3,95.3,1
229,185,173,324,130,73.9,1
270,220,200,324,136,81,2
237,195,182,326,144,88,1
244,205,174,326,150,95,2
225,189,163,327,141,80.9,1
245,205,185,328,139,88.4,2
250,200,180,328,145,82.9,1
250,207,195,328.8,143.3,90.7,2
235,203,169,329,138.8,87.7,1
250,205,190,329.2,204.3,95.5,1
240,200,170,330,153.7,100.9,1
245,200,190,330,155,104.5,1
248,222,170,330.7,139.5,73.5,2
260,218,190,331.3,182.4,95,2
235,194,164,332,128,77.7,1
245,205,180,332,148,94,1
245,200,175,332,148.5,96.8,2
250,205,195,332,151,99.7,2
250,200,185,332.7,155.5,93,1
230,190,177,332.8,191.1,100.3,2
255,205,186,333.2,156.6,89.3,2
250,210,195,334,146,100,1
225,185,165,334,148.7,92,1
295,245,178,334.1,117.7,71.7,2
227,183,183,336,138,90,1
255,206,182,337,147,83,2
250,205,190,337,159,101,1
252,205,180,338.3,155.6,94.8,1
239,195,181,339,147.1,84.8,1
248,200,173,340,143.6,96.1,1
245,200,190,340,150,100,1
250,200,185,340,160,103,1
249,206,187,340,165.3,106.6,2
251,210,172,340.6,70,41,2
235,192,181,341,142.1,85.7,1
242,203,180,341,152.4,102,2
255,211,165,341.1,138.5,80,2
248,198,184,343,152,99,1
240,200,180,344,156.6,98.5,2
260,220,170,345,123,69.4,1
245,205,170,345,164.2,92,1
265,215,185,345.2,139.9,81.5,2
258,214,166,346,141,74,1
